category,literal,occurrences,distinct_files,first_location
spacing,"0"">what changed?</h2>",1,1,connected-frontend/index.html:2134
spacing,"0 4px"" onchange=""loadrecentchanges()"">",1,1,connected-frontend/index.html:2137
spacing,"0"">getting help</h2>",1,1,connected-frontend/index.html:2175
spacing,"0"">frequently asked questions</h2>",1,1,connected-frontend/index.html:2184
spacing,"6px""></span>",1,1,connected-frontend/index.html:2217
spacing,"-4px 0 10px"">",1,1,connected-frontend/index.html:2232
spacing,"3px"">link to an image hosted elsewhere — must start with http:// or https://. leave blank to use the default crest.</div>",1,1,connected-frontend/index.html:2240
spacing,"0 0 10px"">",1,1,connected-frontend/index.html:2265
spacing,"0 0 16px""></div>",1,1,connected-frontend/index.html:2274
spacing,"10px"">named parade night schedules with ordered blocks. training period blocks generate schedulable curriculum sessions. new parade nights automatically use the template effective on their date.</div>",1,1,connected-frontend/index.html:2277
spacing,"20px"">when no template applies</h3>",1,1,connected-frontend/index.html:2284
spacing,"0 0 10px"">parade nights you have already created keep the periods they have.</div>",1,1,connected-frontend/index.html:2296
spacing,"10px"">adjust spacing to fit more content on screen. both settings meet accessibility requirements at 200% zoom. your preference is saved for this browser session.</p>",1,1,connected-frontend/index.html:2305
spacing,"8px"">comfortable is the default and recommended setting for most users.</p>",1,1,connected-frontend/index.html:2316
spacing,"0"">training years</h2>",1,1,connected-frontend/index.html:2320
spacing,12px 0,1,1,connected-frontend/index.html:2326
spacing,"0"">training classes</h2>",1,1,connected-frontend/index.html:2332
spacing,"4px""><input type=""checkbox"" id=""tc-show-archived"" onchange=""_tctoggleshowarchived(p.currentyearid)""> show archived</label>",1,1,connected-frontend/index.html:2334
spacing,"0 0 8px"">",1,1,connected-frontend/index.html:2338
spacing,"8px"" for=""tc-year-sel"">year:</label>",1,1,connected-frontend/index.html:2344
spacing,"0"">custom training phases</h2>",1,1,connected-frontend/index.html:2356
spacing,"10px"">to reset another user's code, use the user directory section below (admin only). all resets are recorded in the audit log.</div>",1,1,connected-frontend/index.html:2374
spacing,"10px""><input id=""user-dir-filter"" placeholder=""filter by name, role, or unit…"" oninput=""renderuserdir()"" autocomplete=""off"" aria-label=""filter users by name, role, or unit""></div>",1,1,connected-frontend/index.html:2380
spacing,"4px""><input type=""checkbox"" id=""wings-show-archived"" onchange=""_orgtoggleshowarchived('wing')""> show archived</label>",1,1,connected-frontend/index.html:2427
spacing,"3px 6px"">",1,1,connected-frontend/index.html:2438
spacing,"4px""><input type=""checkbox"" id=""units-show-archived"" onchange=""_orgtoggleshowarchived('squadron')""> show archived</label>",1,1,connected-frontend/index.html:2445
spacing,"4px""><input type=""checkbox"" id=""flights-show-archived"" onchange=""_flightstoggleshowarchived()""> show archived</label>",1,1,connected-frontend/index.html:2457
spacing,"6px 0 10px"">flights are local squadron groupings only. they do not create separate tenancy or change permissions. a user assigned to a flight still belongs entirely to the squadron.</div>",1,1,connected-frontend/index.html:2461
spacing,"0 0 10px"">configuration values used by the operational pages. everything here is created at your own scope (<span id=""refdata-scope-label""></span>).</p>",1,1,connected-frontend/index.html:2476
spacing,"18px""></div>",1,1,connected-frontend/index.html:2477
spacing,"4px""><input type=""checkbox"" id=""wc-show-archived"" onchange=""_wctoggleshowarchived()""> show archived</label>",1,1,connected-frontend/index.html:2527
spacing,"4px"">show archived",1,1,connected-frontend/index.html:2601
spacing,"8px"">create new wing</div>",1,1,connected-frontend/index.html:2609
spacing,"8px"">create new squadron / specialist unit</div>",1,1,connected-frontend/index.html:2624
spacing,"6px"">access restrictions (after drain window)</div>",1,1,connected-frontend/index.html:2669
spacing,"12px"">upload the aafc training schedule workbook (.xlsm) to import all curriculum items from <em>zz - program backend</em>. safe to run multiple times without creating duplicates.</div>",1,1,connected-frontend/index.html:2690
spacing,"12px"">creates the first available squadron under the first active wing (if missing) and one account each for national_admin, wing_admin, and sqn_admin. codes are generated server-side, shown once, and never retrievable again. safe to re-run — only missing accounts are created. use optional body <code>{""wing_code"":""…"",""sqn_code"":""…""",1,1,connected-frontend/index.html:2705
spacing,"10px""></div>",1,1,connected-frontend/index.html:2713
spacing,"0 2px"">|</span>",1,1,connected-frontend/index.html:2762
spacing,"0 0 16px"">",1,1,connected-frontend/index.html:3184
spacing,"0""><label for=""cp-from-inp"">starts</label>",1,1,connected-frontend/index.html:3192
spacing,"0""><label for=""cp-to-inp"">ends</label>",1,1,connected-frontend/index.html:3194
spacing,"0""><label for=""cp-edit-from-inp"">starts</label>",1,1,connected-frontend/index.html:3219
spacing,"0""><label for=""cp-edit-to-inp"">ends</label>",1,1,connected-frontend/index.html:3221
spacing,"12px"">copies the planning details of each session (curriculum item, facilitator, room, training class audience) from this parade night to the selected night. sessions already at the same period in the target are not changed.</p>",1,1,connected-frontend/index.html:3296
spacing,"12px"">applies the session structure of the selected template to this parade night. training class audiences are not copied — assign them after applying. periods already occupied are not changed.</p>",1,1,connected-frontend/index.html:3312
spacing,"8px 0"">no templates saved yet. open a parade night with sessions and choose ""save as template"".</div>",1,1,connected-frontend/index.html:3314
spacing,"1px"">step 1 of 6</div>",1,1,connected-frontend/index.html:3329
spacing,"14px"" id=""wiz-progress"" aria-hidden=""true"">",1,1,connected-frontend/index.html:3335
spacing,"6px"" aria-label=""search curriculum items"">",1,1,connected-frontend/index.html:3358
spacing,"0"">ticket</h2>",1,1,connected-frontend/index.html:3462
spacing,"2px""></div>",1,1,connected-frontend/index.html:3463
spacing,"8px"">this move creates a conflict:</div>",1,1,connected-frontend/index.html:3684
spacing,0 0 4px 18px,1,1,connected-frontend/index.html:3685
