router_file,method,full_path,function,line
backend/app/routers/organisations.py,POST,/api/squadrons/{squadron_id}/restore,restore_squadron,367
backend/app/routers/organisations.py,GET,/api/squadrons/{squadron_id},get_squadron,393
backend/app/routers/organisations.py,PATCH,/api/squadrons/{squadron_id},update_squadron,411
backend/app/routers/organisations.py,GET,/api/users,list_users,435
backend/app/routers/organisations.py,POST,/api/proxy/enter/{squadron_id},enter_proxy,477
backend/app/routers/organisations.py,POST,/api/proxy/exit,exit_proxy,509
backend/app/routers/organisations.py,GET,/api/proxy/current,current_proxy,521
backend/app/routers/organisations.py,GET,/api/audit,get_audit,531
backend/app/routers/planning.py,GET,/api/planning/years,list_planning_years,417
backend/app/routers/planning.py,POST,/api/planning/years,create_planning_year,453
backend/app/routers/planning.py,GET,/api/planning/years/{year_id},get_planning_year,486
backend/app/routers/planning.py,PATCH,/api/planning/years/{year_id},update_planning_year,501
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/parade-dates,list_parade_dates,550
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/parade-dates,add_parade_date,578
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/preview-parade-dates,preview_parade_dates,682
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/generate-parade-dates,generate_parade_dates,705
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/update-future-parade-day,update_future_parade_day,777
backend/app/routers/planning.py,DELETE,/api/planning/parade-dates/{date_id},delete_parade_date,934
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/holidays,list_holidays,979
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/holidays,add_holiday,992
backend/app/routers/planning.py,DELETE,/api/planning/holidays/{holiday_id},delete_holiday,1015
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/anchors,list_anchors,1066
backend/app/routers/planning.py,POST,/api/planning/years/{year_id}/anchors,create_anchor,1087
backend/app/routers/planning.py,PATCH,/api/planning/anchors/{anchor_id},update_anchor,1122
backend/app/routers/planning.py,DELETE,/api/planning/anchors/{anchor_id},archive_anchor,1147
backend/app/routers/planning.py,GET,/api/planning/anchors/{anchor_id}/prep-suggestions,get_prep_suggestions,1164
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/term-planner,get_term_planner,1220
backend/app/routers/planning.py,GET,/api/planning/parade-dates/{date_id}/builder,get_builder,1286
backend/app/routers/planning.py,POST,/api/planning/parade-dates/{date_id}/sessions,create_session,1393
backend/app/routers/planning.py,GET,/api/planning/sessions/{session_id},get_session,1466
backend/app/routers/planning.py,PATCH,/api/planning/sessions/{session_id},update_session,1481
backend/app/routers/planning.py,DELETE,/api/planning/sessions/{session_id},delete_session,1539
backend/app/routers/planning.py,GET,/api/planning/parade-dates/{date_id}/weekly-program,get_weekly_program,1561
backend/app/routers/planning.py,GET,/api/planning/years/{year_id}/long-range,get_long_range,1627
backend/app/routers/planning.py,GET,/api/planning/locations,list_locations,1724
backend/app/routers/planning.py,POST,/api/planning/locations,create_location,1746
