file,kind,name,line
frontend/src/components/planning/ActivityDetailBlock.tsx,function,impLabel,207
frontend/src/components/planning/ActivityDetailBlock.tsx,function,impColor,213
frontend/src/components/planning/ActivityDetailBlock.tsx,function,or,220
frontend/src/components/planning/ActivityDetailBlock.tsx,function,Field,226
frontend/src/components/planning/ActivityDetailBlock.tsx,function,StatusBadge,238
frontend/src/components/planning/ActivityDetailBlock.tsx,exported-function,ActivityDetailBlock,264
frontend/src/components/planning/ActivityDetailBlock.tsx,function,sectionHdr,455
frontend/src/components/planning/ActivityDetailBlock.tsx,exported-function,ActivityFullDetail,467
frontend/src/components/planning/ActivityDetailBlock.tsx,exported-function,ActivityListRow,557
frontend/src/components/planning/GuidedYearSetupModal.tsx,exported-function,GuidedYearSetupModal,33
frontend/src/components/planning/GuidedYearSetupModal.tsx,function,TimingStep,168
frontend/src/components/planning/GuidedYearSetupModal.tsx,function,DatesStep,266
frontend/src/components/planning/GuidedYearSetupModal.tsx,function,PlacementStep,361
frontend/src/components/planning/GuidedYearSetupModal.tsx,function,toggle,396
frontend/src/components/planning/ImportFacilitatorsModal.tsx,exported-function,ImportFacilitatorsModal,20
frontend/src/components/planning/ImportFacilitatorsModal.tsx,function,onFileChange,42
frontend/src/components/planning/ImportFacilitatorsModal.tsx,function,toggleConfirm,74
frontend/src/components/planning/ParadeNightBlock.tsx,exported-function,fromNightSummary,32
frontend/src/components/planning/ParadeNightBlock.tsx,exported-function,fromPlanningSession,46
frontend/src/components/planning/ParadeNightBlock.tsx,exported-function,computeConflicts,68
frontend/src/components/planning/ParadeNightBlock.tsx,function,getCell,142
frontend/src/components/planning/ParadeNightBlock.tsx,function,trunc,156
frontend/src/components/planning/ParadeNightBlock.tsx,function,AddNoticeForm,163
frontend/src/components/planning/ParadeNightBlock.tsx,exported-function,ParadeNightBlock,237
frontend/src/components/planning/ParadeNightMiniGrid.tsx,exported-function,getCell,12
frontend/src/components/planning/ParadeNightMiniGrid.tsx,function,trunc,26
frontend/src/components/planning/ParadeNightMiniGrid.tsx,exported-function,ParadeNightMiniGrid,36
frontend/src/components/planning/ParadeNightProgramCard.tsx,exported-function,ParadeNightProgramCard,19
frontend/src/components/planning/ParadeNightSummaryCard.tsx,function,PeriodRow,3
frontend/src/components/planning/ParadeNightSummaryCard.tsx,exported-function,ParadeNightSummaryCard,53
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,getProgramType,63
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,fmtDate,82
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,BacklogContent,88
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,handleSort,176
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,SortHdr,181
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,FacilitatorLeaveSection,466
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,ScheduleContent,659
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,FacilitatorsContent,701
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,RoomsContent,863
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,EquipmentContent,911
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,resetForm,927
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,HolidaysContent,1043
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,resetForm,1061
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,NoticesContent,1211
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,ClassifyModal,1290
frontend/src/components/planning/PlanningBottomDrawer.tsx,const-arrow,onKey,1309
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,ActivitiesContent,1383
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,handleSort,1532
frontend/src/components/planning/PlanningBottomDrawer.tsx,function,SortTh,1537
frontend/src/components/planning/PlanningBottomDrawer.tsx,exported-function,PlanningBottomDrawer,1895
frontend/src/components/planning/PlanningContextBar.tsx,exported-function,PlanningContextBar,33
frontend/src/components/planning/PlanningLeftPanel.tsx,exported-function,PlanningLeftPanel,56
frontend/src/components/planning/PlanningRightDrawer.tsx,function,SessionForm,29
