context,file,selector,fg,bg,px,weight,large,required,ratio,result,how,size_known
light,components.css,.scope-pill,#002f65,#51b0e3,13.0,400,False,4.5,5.44,PASS,same-rule,no
dark,components.css,.scope-pill,#002f65,#51b0e3,13.0,400,False,4.5,5.44,PASS,same-rule,no
hc,components.css,.scope-pill,#002f65,#000099,13.0,400,False,4.5,1.09,FAIL,same-rule,no
contrast-more,components.css,.scope-pill,#002f65,#51b0e3,13.0,400,False,4.5,5.44,PASS,same-rule,no
light,components.css,".form input,.form select,.inline-form input,.inline-form sel",#1e2d3d,#ffffff,13.0,400,False,4.5,14.02,PASS,same-rule,no
dark,components.css,".form input,.form select,.inline-form input,.inline-form sel",#e7eef6,#0f1c30,13.0,400,False,4.5,14.61,PASS,same-rule,no
hc,components.css,".form input,.form select,.inline-form input,.inline-form sel",#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,same-rule,no
contrast-more,components.css,".form input,.form select,.inline-form input,.inline-form sel",#000000,#ffffff,13.0,400,False,4.5,21.0,PASS,same-rule,no
light,components.css,.cal-sessions,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
light,components.css,.cal-sessions,#657380,#f4f8fc,11.0,400,False,4.5,4.56,PASS,assumed --background,yes
dark,components.css,.cal-sessions,#9fb2c6,#0f1c30,11.0,400,False,4.5,7.86,PASS,assumed --surface,yes
dark,components.css,.cal-sessions,#9fb2c6,#081426,11.0,400,False,4.5,8.48,PASS,assumed --background,yes
hc,components.css,.cal-sessions,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --surface,yes
hc,components.css,.cal-sessions,#303030,#ffffff,11.0,400,False,4.5,13.2,PASS,assumed --background,yes
contrast-more,components.css,.cal-sessions,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --surface,yes
contrast-more,components.css,.cal-sessions,#3a3a3a,#ffffff,11.0,400,False,4.5,11.37,PASS,assumed --background,yes
light,components.css,.sensitive,#657380,#ffffff,13.0,400,False,4.5,4.86,PASS,assumed --surface,no
light,components.css,.sensitive,#657380,#f4f8fc,13.0,400,False,4.5,4.56,PASS,assumed --background,no
dark,components.css,.sensitive,#9fb2c6,#0f1c30,13.0,400,False,4.5,7.86,PASS,assumed --surface,no
dark,components.css,.sensitive,#9fb2c6,#081426,13.0,400,False,4.5,8.48,PASS,assumed --background,no
hc,components.css,.sensitive,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --surface,no
hc,components.css,.sensitive,#303030,#ffffff,13.0,400,False,4.5,13.2,PASS,assumed --background,no
contrast-more,components.css,.sensitive,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --surface,no
contrast-more,components.css,.sensitive,#3a3a3a,#ffffff,13.0,400,False,4.5,11.37,PASS,assumed --background,no
light,components.css,.login-foot,#657380,#ffffff,11.0,400,False,4.5,4.86,PASS,assumed --surface,yes
