frontend,context,state,selector,foreground,background,kind,ratio,required,result,how
Planning WS,(prefers-contrast: more),resting,.pw-conflict-alert.soft,#FFB300,#FFF8E1,boundary-advisory,1.69,3.0,FAIL,same-rule
Planning WS,default,resting,.pw-conflict-alert.soft,#FFB300,#FFF8E1,boundary-advisory,1.69,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-badge-national,#4A1080,#F2EBFE,text,10.79,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-badge-national,#44007a,#F2EBFE,boundary-advisory,11.85,3.0,PASS,same-rule
Planning WS,default,resting,.pw-badge-national,#4A1080,#F2EBFE,text,10.79,4.5,PASS,same-rule; size unknown - assumed body
Planning WS,default,resting,.pw-badge-national,#44007a,#F2EBFE,boundary-advisory,11.85,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-block.holiday,#f5c26b,#fffaf2,boundary-advisory,1.58,3.0,FAIL,same-rule
Planning WS,default,resting,.pw-block.holiday,#f5c26b,#fffaf2,boundary-advisory,1.58,3.0,FAIL,same-rule
Planning WS,(prefers-contrast: more),hover,.pw-block-hdr:hover,#fff,#003a80,text,10.96,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
Planning WS,default,hover,.pw-block-hdr:hover,#fff,#003a80,text,10.96,4.5,PASS,inherited-fg + same-rule bg; size unknown - assumed body
Planning WS,(prefers-contrast: more),resting,.pw-block-band-hdr,#3a3a3a,#f5f7fa,text,10.6,4.5,PASS,same-rule; 10px body
Planning WS,default,resting,.pw-block-band-hdr,#303030,#f5f7fa,text,12.3,4.5,PASS,same-rule; 10px body
Planning WS,(prefers-contrast: more),resting,.pw-night-grid thead th,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; 11px body
Planning WS,default,resting,.pw-night-grid thead th,#fff,#004b8d,text,8.78,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),resting,.pw-night-grid tbody th,#555555,#f5f7fa,boundary-advisory,6.95,3.0,PASS,same-rule
Planning WS,default,resting,.pw-night-grid tbody th,#555555,#f5f7fa,boundary-advisory,6.95,3.0,PASS,same-rule
Planning WS,(prefers-contrast: more),resting,.pw-block-warnings,#cc0011,#fff5f5,text,5.49,4.5,PASS,same-rule; 11px body
Planning WS,default,resting,.pw-block-warnings,#cc0011,#fff5f5,text,5.49,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),hover,.pw-pn-add-notice-btn:hover,#000044,#ffffff,text,19.38,4.5,PASS,same-rule; 11px body
Planning WS,(prefers-contrast: more),hover,.pw-pn-add-notice-btn:hover,#000099,#ffffff,boundary-advisory,14.38,3.0,PASS,same-rule
Planning WS,default,hover,.pw-pn-add-notice-btn:hover,#000044,#ffffff,text,19.38,4.5,PASS,same-rule; 11px body
